Name,Ticker
Absa Group,ABG.JO
Anglo American,AGL.JO
Anglogold Ashanti,ANG.JO
AB InBev,ANH.JO
Aspen Pharmacare,APN.JO
BHP,BHG.JO
Bidcorp,BID.JO
Bidvest Group,BVT.JO
BAT,BTI.JO
Capitec,CPI.JO
Clicks,CLS.JO
Discovery,DSY.JO
Exxaro,EXX.JO
FirstRand,FSR.JO
Glencore,GLN.JO
Gold Fields,GFI.JO
Growthpoint Properties,GRT.JO
Implats,IMP.JO
Investec Ltd,INL.JO
Investec PLC,INP.JO
Mondi,MNP.JO
Mr Price Group,MRP.JO
MTN Group,MTN.JO
MultiChoice,MCG.JO
Naspers,NPN.JO
Nedbank,NED.JO
NEPI Rockcastle,NRP.JO
Northam Platinum,NPH.JO
Old Mutual,OMU.JO
Prosus,PRX.JO
Reinet Investments,RNI.JO
Remgro,REM.JO
RMH,RMH.JO
Sanlam,SLM.JO
Sasol,SOL.JO
Shoprite,SHP.JO
Standard Bank,SBK.JO
Vodacom,VOD.JO
Woolworths Holdings,WHL.JO
